FID,the_geom,ID,LOCALIDAD,DISTRITO,DEPTO,C_POSTAL,DIST_MZA,POB_1980,POB_1991,POB_2001,POB_2010
localidades.272,POINT (-69.59110172174799 -35.21281799164937),0,Coihueco Norte,Malargue,Malargue,0,0,,,,0
localidades.273,POINT (-69.7909293271666 -36.15400799232434),0,Coihueco Sur,Rio Grande,Malargue,0,0,,,,0
localidades.274,POINT (-68.68634510570352 -32.69815192622204),0,La Polvosa,Cavdevila,Las Heras,0,0,,,,0
localidades.275,POINT (-69.45060141253487 -35.263770229385564),0,La Junta,Malargue,Malargue,0,0,,,,0
localidades.276,POINT (-68.1938999637964 -34.518046713511616),0,Colonia La Española,Cuadro Nacional,San Rafael,5607,241,,,,0
localidades.277,POINT (-69.19854176820482 -32.96375439772972),0,Nueva Villa Potrerillos,Potrerillos,Luján,0,0,,,,0
localidades.278,POINT (-68.88912901677371 -35.108527452402356),0,Trintica,El Nihuil,San Rafael,0,0,,,,0
localidades.279,POINT (-67.83183325473362 -34.678346763355556),0,Colonia Ganadera,Monte Comán,San Rafael,0,0,,,,0
localidades.280,POINT (-69.80285809744917 -36.03223796079489),0,Chalahuen,Rio Grande,Malargue,0,0,,,,0
localidades.281,POINT (-69.75659132564738 -36.183423239413095),0,Butarevon,Rio Grande,Malargue,0,0,,,,0
localidades.282,POINT (-69.85649809467947 -36.1087250964955),0,Sierra Azul,Rio Grande,Malargue,0,0,,,,0
localidades.283,POINT (-69.683634460352 -36.25606085168623),0,Pasarela,Rio Grande,Malargue,0,0,,,,0
localidades.284,POINT (-69.86374535727315 -36.175387614506526),0,Mechenquil,Rio Grande,Malargue,0,0,,,,0
localidades.285,POINT (-70.04580197610207 -36.249922775675024),0,Sierra Mayan,Rio Grande,Malargue,0,0,,,,0
localidades.286,POINT (-69.66084826103072 -36.18963280241454),0,Campo Las Chacras,Rio Grande,Malargue,0,0,,,,0
localidades.287,POINT (-70.22993035050182 -35.56832445207079),0,Potreros de la Cordillera,Rio Grande,Malargue,0,0,,,,0
localidades.288,POINT (-69.51936871319018 -35.48309713925834),0,Cañada Colorada II,Malargue,Malargue,0,0,,,,0
localidades.289,POINT (-69.67607017104541 -35.48439027253532),0,Cañada Colorada,Malargue,Malargue,0,0,,,,0
localidades.290,POINT (-69.59840858283552 -35.502857951085645),0,Colonia Pehuenche,Malargue,Malargue,0,0,,,,0
localidades.291,POINT (-69.28783116529587 -35.272716977471966),0,Loma Negra,Malargue,Malargue,0,0,,,340,25
localidades.292,POINT (-69.71289805832825 -35.96638606114372),0,Reserva El Carrizalito,Rio Grande,Malargue,0,0,,,120,45
localidades.293,POINT (-69.54582641846514 -35.481245438143105),0,Colonia  Forestal Forrajera,Malargue,Malargue,0,0,,,200,120
localidades.294,POINT (-68.29412119188679 -33.23330855692568),0,Colonia Los Otoyanes,Philips-La Central-12 de octub,Junin,0,0,,,78,250
localidades.295,POINT (-68.09919577860518 -33.262230755454944),0,Asociacion ASOR,Santa Rosa,Santa Rosa,0,0,,,60,23
localidades.296,POINT (-69.21383978596909 -32.95950785716283),296,Avda de los Cóndores,Potrerillos,Luján,0,0,,,150,150
localidades.297,POINT (-69.28766022697073 -33.00851351465194),297,El Llano,Potrerillos,Luján,0,0,,,150,110
localidades.298,POINT (-68.61265209888643 -32.88826564147561),0,El Vivoron,,Maipu,0,0,,,,0
localidades.299,POINT (-69.74918477815567 -35.51943603640455),0,Estancia Las Vegas,Ciudad de Malargue,Malargue,0,0,,,,0
localidades.300,POINT (-69.18689610552065 -35.77285262167842),0,Carapacho,,Malargue,0,0,,,,0
localidades.301,POINT (-68.30884498557353 -36.0007265919709),0,Butaco,Agua Escondita,Malargue,0,0,,,,0
localidades.302,POINT (-69.78175814071412 -36.43836897231816),0,Puntilla de Huincan,Río Barrancas,Malargue,0,0,,,,0
localidades.303,POINT (-68.18330647493117 -32.91669107862115),0,La Pichana,Montecaseros,San Martin,0,0,,,,0
localidades.304,POINT (-69.34537173361745 -32.51888395231154),0,Los Tombillos,Uspallata,Las Heras,0,0,,,,0
localidades.305,POINT (-68.10912605668165 -33.25402672615904),0,Colonia Las Trincheras,Villa Santa Rosa,Santa Rosa,0,0,,,,0
