RUBRO,NOMBRE DE FANTASIA,CALLE,NRO.,LOCALIDAD,DEPARTAMENTO,DIRECCION COMPLETA,Latitude,Longitude,TELEFONOS,RES.,PROPIETARIO
SANDWICHERIA,SAN PEDRO,MONTECASEROS Y RUTA 50,S/N,CIUDAD,SAN MARTIN,MONTECASEROS Y RUTA 50 S/N CIUDAD SAN MARTIN,-30.25314580,-57.63655550,0263-1544165478,329/05,"CERDA, ROSA DEL CARMEN"
RESTAURANTE,LA CASONA DE MALARGUE,RUTA 40,S/N,CIUDAD,MALARGUE,RUTA 40 S/N CIUDAD MALARGUE,-35.47909660,-69.58524020,0260-4471341,351/05,"SARICH, MARISA CRISTINA"
BAR,TIBET BAR,LAS HERAS Y RUTA 52,,USPALLATA,LAS HERAS,LAS HERAS Y RUTA 52 USPALLATA LAS HERAS,-32.59110910,-69.34782370,0261-156534699,E/T,"GUZMAN, GISELA PAOLA"
COMPLEJO,AGUAS DEL PIZARRO,RUTA 82,"KM.36,5",CACHEUTA,LUJAN,"RUTA 82 KM.36,5 CACHEUTA LUJAN",-33.01461880,-69.11852430,,E/T,"PEREZ RINALDI, GUSTAVO"
RESTAURANTE,JOCOLI,RUTA 40,KM.42,JOCOLI,LAVALLE,RUTA 40 KM.42 JOCOLI LAVALLE,-32.58939360,-68.66909990,,363/86,"BRAVO, DANTE"
HELADERIA,CEFERINO,SAAVEDRA,1008,CIUDAD,GUAYMALLEN,SAAVEDRA 1008 CIUDAD GUAYMALLEN,-32.89213050,-68.81966230,,120/87,"BRIFFI,ROQUE"
RESTAURANTE,DOWN TOWN,AV.SARMIENTO,755,CIUDAD,CAPITAL,AV.SARMIENTO 755 CIUDAD CAPITAL,-32.88868960,-68.84880910,4293066,057/05,"RODAS, JUAN MANUEL"
HELADERIA,FERRUCCIO SOPPELSA,AV.SAN JUAN,701,CIUDAD,CAPITAL,AV.SAN JUAN 701 CIUDAD CAPITAL,-34.62184530,-58.37576360,,504/09,"BLANCO NOGUERA, JOSE ANOTONIO"
CEFETERIA,LA LIGA,GARIBALDI,83,CIUDAD,CAPITAL,GARIBALDI 83 CIUDAD CAPITAL,-32.89107088,-68.83749657,156502100,097/14,"SIVILA MENDIETA, ELIZABETH"
RESTAURANTE,VECCHIORSO,26 DE JULIO,188,CIUDAD,GRAL.ALVEAR,26 DE JULIO 188 CIUDAD GRAL.ALVEAR,-34.97798820,-67.68938580,02625-15663416,E/T,"SANTON, FRANCESCO"
CAF-BAR,VIVIR,CORONEL RODRIGUEZ,866,CIUDAD,CAPITAL,CORONEL RODRIGUEZ 866 CIUDAD CAPITAL,-32.89074980,-68.85273230,,90/88,"SAT, MARIA"
MINIMARKET,PARADOR RHASA,PANAMERICANA Y MONTECASEROS,S/N,CIUDAD,SAN MARTIN,PANAMERICANA Y MONTECASEROS S/N CIUDAD SAN MARTIN,-30.25314580,-57.63655550,0263-4420916,295/05,"PINEYRA, MONICA"
SANDWICHERIA,LA PULPERIA,ADOLFO CALLE,778,DORREGO,GUAYMALLEN,ADOLFO CALLE 778 DORREGO GUAYMALLEN,-32.89982890,-68.82738300,,E/T,"HANNONUN, MATIAS SEBASTIAN"
PIZZERIA,LA TABA CLUB,20 DE SETIEMBRE,39,CIUDAD,LUJAN,20 DE SETIEMBRE 39 CIUDAD LUJAN,-34.56333120,-59.12088050,4980497,113/18,"ACOSTA, PABLO RAMIRO"
SANDWICHERIA,YA CE,RUTA 40,KM.78,CIUDAD,TUNUYAN,RUTA 40 KM.78 CIUDAD TUNUYAN,-33.58286240,-69.01599860,02622-424311,N/T,"CASTILLO, MARGARITA ERMINIA"
CONF.BAILABLE,NATAN,RUTA PANAMERICANA,KM.24,,LUJAN,RUTA PANAMERICANA KM.24 LUJAN,-34.56333120,-59.12088050,4901062,421/83,"CAVAGNARO, ELSO"
PARRILLADA,LOS TURQUITOS,RUTA NACIONAL 143,S/N,SALTO DE LAS ROSAS,SAN RAFAEL,RUTA NACIONAL 143 S/N SALTO DE LAS ROSAS SAN RAFAEL,-34.72675460,-68.23102330,,235/93,"ALAM, ROQUE ELIAS"
RESTAURANTE,PIACERE CHACRAS,MITRE,1426,CHACRAS DE CORIA,LUJAN,MITRE 1426 CHACRAS DE CORIA LUJAN,-32.98713780,-68.88512800,4960925,136/18,MENDOZA ALGIUS S.A.
CAFETERIA,LE TRAIN,BELGRANO,1415,CIUDAD,CAPITAL,BELGRANO 1415 CIUDAD CAPITAL,-32.89101683,-68.83751803,,E/T,"REBMAN, CARLOS"
PIZZERIA,VALENTINO PIZZA,SAN MARTIN,67,CIUDAD,MAIPU,SAN MARTIN 67 CIUDAD MAIPU,-32.98378060,-68.78941540,4815823,329/08,"VEGA, DANIEL FERANDO"
BAR,LEROT,AV.ARISTIDES VILLANUEVA,263,CIUDAD,CAPITAL,AV.ARISTIDES VILLANUEVA 263 CIUDAD CAPITAL,-32.89220730,-68.85408300,4204362,572/17,"QUEVEDO, MARIA BELEN"
RESTAURANTE,EL ARCE,RUTA 7,KM866,DESAGUADERO,LA PAZ,RUTA 7 KM866 DESAGUADERO LA PAZ,-33.40590120,-67.15779550,,E/T,"ARCE, RAFAEL"
RESTO-BAR,AZAR,AMAGHINO,350,CIUDAD,SAN RAFAEL,AMAGHINO 350 CIUDAD SAN RAFAEL,37.97353460,-122.53108740,260-154597902,125/18,"SILVA, RAFEL LUCIANO"
COMIDA RAPIDA,MELIPAL,PARQUE PROVINCIAL ACONCAGUA,S/N,PARQUE ACONCAGUA,LAS HERAS,PARQUE PROVINCIAL ACONCAGUA S/N PARQUE ACONCAGUA LAS HERAS,-32.65317900,-70.01086750,,632/03,"ESPINOLA, MARIA PAULA"
HELADERIA,FRIOS,PELLEGRINI,180,CIUDAD,TUNUYAN,PELLEGRINI 180 CIUDAD TUNUYAN,-33.57766570,-69.01863540,2600-423199,579/17,"SELESAN, MARIA ALEJANDRA"
CAFETERIA,BISHR,AV.BULOGNE SUR MER,90,CIUDAD,SAN MARTIN,AV.BULOGNE SUR MER 90 CIUDAD SAN MARTIN,-34.68780650,-58.52122610,0263-4422222,43/04,"NAVARRETE, SILVIA MABEL"
PIZZERIA,AVENIDA,ITALIA,368,PALMIRA,SAN MARTIN,ITALIA 368 PALMIRA SAN MARTIN,-33.05165416,-68.56056506,,N/T,"WOOBS,HECTOR"
CAFETERIA,STARBUCKS COFFEE,BV.PEREZ CUESTA,3280,MZA.PLAZA SHOPPING,GUAYMALLEN,BV.PEREZ CUESTA 3280 MZA.PLAZA SHOPPING GUAYMALLEN,-32.90195070,-68.79746810,4490182,1281/14,STARBUKS COFFEE ARGENTINA S.R.L.
HELADERIA,ROMA UNO,9 DE JULIO,95,CIUDAD,SAN MARTIN,9 DE JULIO 95 CIUDAD SAN MARTIN,-33.08213494,-68.47229105,0263-4421551,E/T,"BRIFFE, MABEL GLADYS"
BAR,AL JUAN,LAS HERAS,S/N,USPALLATA,LAS HERAS,LAS HERAS S/N USPALLATA LAS HERAS,-32.59108270,-69.34788360,02624-420496,609/14,"ARRIETA, HECTOR FEDERICO"
RESTAURANTE,EL AMASIJO,UGARTE,802,LA PUNTILLA,LUJAN,UGARTE 802 LA PUNTILLA LUJAN,-34.56333120,-59.12088050,4441747,N/T,"MARQUESINI, ERNESTO"
RESTAURANTE,CLUB AGUSTIN ALVARES,LAVALLE,540,CIUDAD,RIVADAVIA,LAVALLE 540 CIUDAD RIVADAVIA,-31.53715760,-68.57380750,,N/T,"GUTIERREZ, OSCAR ORLANDO (CONSECIONARIO)"
CONF.BAILABLE,VIVA MARIA,CALLE 1-M.C-LOTE 19,S/N,VISTALBA,LUJAN,CALLE 1-M.C-LOTE 19 S/N VISTALBA LUJAN,-33.02709860,-68.90705650,,264/84,"PAJARO, OSCAR Y LOPEZ, CARLOS"
CONF.BAILABLE,GARAJE,BALLOFET,3007,CIUDAD,SAN RAFAEL,BALLOFET 3007 CIUDAD SAN RAFAEL,-34.64014280,-68.37132370,,132/93,"BRUNI, GABRIELA RODRIGUEZ DE"
RESTAURANTE,PUESTO LAS TINAJAS,ACC.LOS JILGUEROS,S/N,CUADRO BENEGAS,SAN RAFAEL,ACC.LOS JILGUEROS S/N CUADRO BENEGAS SAN RAFAEL,-34.62657740,-68.43202920,,273/93,"TORRES, JUAN CARLOS"
CAF,BIANCO & NERO,PEATONAL SARMIENTO,50,CIUDAD,CAPITAL,PEATONAL SARMIENTO 50 CIUDAD CAPITAL,-32.89067970,-68.84014990,5243344,053/13,RODATI S.A.
RESTAURANTE,CHEF HOUSE,PEDRO MOLINA,173,CIUDAD,CAPITAL,PEDRO MOLINA 173 CIUDAD CAPITAL,"-32.89617162189425, -68.84328697465233",,4298759,E/T,"MARQUEZ, FEDERICO"
SANDWICHERIA,SUPER PANCHO,COLON,15,CIUDAD,GODOY CRUZ,COLON 15 CIUDAD GODOY CRUZ,-32.92475960,-68.84514560,261-5358539,089/18,"GRAZIOTIN, CLAUDIO FABIAN"
HELADERIA,VICENZO,J.V.GONZALEZ,450,HIPER.LIBERTAD,GODOY CRUZ,J.V.GONZALEZ 450 HIPER.LIBERTAD GODOY CRUZ,-32.92862680,-68.85839630,,029/05,"VICENTE, BERTA LILIANA"
RESTAURANTE,HOSTEL CILIX,VALLE DE LAS LE¥AS,,VALLE DE LAS LE¥AS,MALARGUE,VALLE DE LAS LE¥AS VALLE DE LAS LE¥AS MALARGUE,-35.48446200,-69.57974950,,E/T,NIEVE RESIDENCIA S.A.
SANDWICHERIA,SHADOW,AV.SAN MARTIN SUR,1199,BENEGAS,GODOY CRUZ,AV.SAN MARTIN SUR 1199 BENEGAS GODOY CRUZ,-32.93808960,-68.85025730,4223773,599/97,"CABALLERO, MARIO VICENTE RAMON"
CONF.BAILABLE,PATIO DE TANGO,MONTECASEROS,1159,CIUDAD,CAPITAL,MONTECASEROS 1159 CIUDAD CAPITAL,-32.89056090,-68.83145860,,103/87,"CASCONE, JORGE Y CASCONE, DANIEL"
CONFITERIA,DUNKEN,PEATONAL SARMIENTO,256,CIUDAD,CAPITAL,PEATONAL SARMIENTO 256 CIUDAD CAPITAL,-32.89020300,-68.84278570,4236668,383/08,"FUNES MARTY, JUAN ADOLFO"
SANDWICHERIA,LA CURVA,BANDERA DE LOS ANDES,3242,VILLA NUEVA,GUAYMALLEN,BANDERA DE LOS ANDES 3242 VILLA NUEVA GUAYMALLEN,-32.89764210,-68.79743610,4265037,178/87,"DEL MATTO, RICARDO"
BAR,CURIOSA,AV.ARISTIDES VILLANUEVA,426,CIUDAD,CAPITAL,AV.ARISTIDES VILLANUEVA 426 CIUDAD CAPITAL,-32.89213520,-68.85725000,,399/17,"SCALZI, RAUL"
RESTAURANTE,DELFI,RUTA 7,S/N,POTRERILLOS,LUJAN,RUTA 7 S/N POTRERILLOS LUJAN,-32.94924250,-69.20969630,,N/T,"PEREIRA, MARIA BEATRIZ"
HELADERIA,ANGELINI,PADRE VAZQUEZ,217,CIUDAD,MAIPU,PADRE VAZQUEZ 217 CIUDAD MAIPU,-32.98371560,-68.78860890,4977156,E/T,"ABAD, ANGEL EUGENIO"
CAF,EROS,MORALES,378,CIUDAD,GRAL.ALVEAR,MORALES 378 CIUDAD GRAL.ALVEAR,-34.97798820,-67.68938580,02625-424261,E/T,"SAEZ, VICENTE ABEL"
RESTAURANTE,GASPARETTO,EL NIHUIL,450,CIUDAD,GODOY CRUZ,EL NIHUIL 450 CIUDAD GODOY CRUZ,-32.93379920,-68.85324050,4561677,E/T,MENDOZA ALGIUS S.A.
HELADERIA,BALESTRA,CORONEL DIAZ,439,CIUDAD,CAPITAL,CORONEL DIAZ 439 CIUDAD CAPITAL,-32.86660530,-68.82828950,,N/T,"BALLESTRA, JOSE"
RESTAURANTE,LA MARIANA COCINA,RUTA PANAMERICANA,"KM.31,82",COLONIA SUIZA,LAS HERAS,"RUTA PANAMERICANA KM.31,82 COLONIA SUIZA LAS HERAS",-41.09531250,-71.51050570,155467070,E/T,"TOLEDO, MARIANA"
RESTAURANTE,LA ALAMEDA,AV.PEDRO VARGAS,1961,CIUDAD,SAN RAFAEL,AV.PEDRO VARGAS 1961 CIUDAD SAN RAFAEL,-34.63368200,-68.34178330,0260-4434850,62/04,"BARAHONA, DAVID ROBERTO"
RESTAURANTE,ALBA,PERU,3332,CIUDAD,CAPITAL,PERU 3332 CIUDAD CAPITAL,-9.18996700,-75.01515200,4301830,49/85,"ALBA, ANGEL"
RESTAURANTE,ALMACEN ESPA¥OL,DARRAGUEIRA,558,CHACRAS DE CORIA,LUJAN,DARRAGUEIRA 558 CHACRAS DE CORIA LUJAN,-32.97441940,-68.87555360,4961741,E/T,"JURY, EDUARDO JAVIER"
RESTAURANTE,BODEGA MELIPAL,RUTA 7 KM.1056,,AGRELO,LUJAN,RUTA 7 KM.1056 AGRELO LUJAN,-34.55112780,-59.11042900,5248040,875/14,VI¥AS FAMILIA ARISTI S.A.
RESTAURANTE,ZUR COCINA...VINO Y ARTE,MARIANO MORENO,111,CIUDAD,CAPITAL,MARIANO MORENO 111 CIUDAD CAPITAL,-32.90214593,-68.85355285,4284170,E/T,"TOLEDO, MARIA FERNANDA"
CARRITO-BAR,EL PORTUGUES-CARRITO BAR,INDEPENDENCIA,237,CIUDAD,GODOY CRUZ,INDEPENDENCIA 237 CIUDAD GODOY CRUZ,-32.92722070,-68.82138810,,N/T,"MONARDES,MIGUEL ANGEL Y ANGEL CARLOS"
RESTAURANTE,CUMBRES ARGENTINAS,PLAZA DE MULAS,S/N,,LAS HERAS,PLAZA DE MULAS S/N LAS HERAS,-32.64931410,-70.05759460,4310803,176/11,DALLASTA ALFREDO
BAR,FLORENTINO CAF BISTRO,MONTEVIDEO,675,CIUDAD,CAPITAL,MONTEVIDEO 675 CIUDAD CAPITAL,-34.90550160,-56.18511470,4649077,477/11,FLORES Y FLORES S.H.
