RUBRO,NOMBRE DE FANTASIA,CALLE,NRO.,LOCALIDAD,DEPARTAMENTO,DIRECCION COMPLETA,Latitude,Longitude,TELEFONOS,RES.,PROPIETARIO
RESTAURANTE,ALTO REINESE SOFT,AV.SAN MARTIN,1500,CIUDAD,CAPITAL,AV.SAN MARTIN 1500 CIUDAD CAPITAL,-32.85067480,-68.83444320,261-6644429,121/18,FIDEICOMISO DE OPERADORES
CAF-BAR,MYSTIQUE,ITALIA,5879,CHACRAS DE CORIA,LUJAN,ITALIA 5879 CHACRAS DE CORIA LUJAN,-32.98305110,-68.87810360,4962213,139/05,"FERRER, ALEJANDRO"
SANDWICHERIA,HOT POLLO BUFFET,AV.HIPOLITO IRIGOYEN,823,CIUDAD,SAN RAFAEL,AV.HIPOLITO IRIGOYEN 823 CIUDAD SAN RAFAEL,-34.61301980,-68.34015090,0260-4425433,51/92,"CURIEL, FRANCISCO FERNANDEZ"
SANDWICHERIA,PIPOïS,AV. SAN MARTIN,481,CIUDAD,SAN RAFAEL,AV. SAN MARTIN 481 CIUDAD SAN RAFAEL,37.97353460,-122.53108740,,655/95,"FERNANDEZ, ROBERTO MARIO"
BAR,LUJAN SPORT CLUB,20 DE SETIEMBRE,115,,LUJAN,20 DE SETIEMBRE 115 LUJAN,-34.56333120,-59.12088050,,163/98,"TRENTACOSTE, DANTE"
CAFETERIA,DIABLOS,YRIGOYEN Y CASTELLI,,CIUDAD,SAN RAFAEL,YRIGOYEN Y CASTELLI CIUDAD SAN RAFAEL,-34.61325770,-68.33853450,0260-4406738,E/T,"JULIAN, GONZALO OMAR"
RESTAURANTE,VIAMONTE RESTO BAR,VIAMONTE,5458,CHACRAS DE CORIA,LUJAN,VIAMONTE 5458 CHACRAS DE CORIA LUJAN,-32.98588530,-68.88231030,4960196,587/14,"SOSA, MARIA ELISA"
RESTAURANTE,EL BODEGON DE UCO,PELLEGRINI,177,CIUDAD,TUNUYAN,PELLEGRINI 177 CIUDAD TUNUYAN,-33.57745050,-69.01861670,02622-677241,E/T,"CASTILLO, MARIA SUSANA"
CABARET,FLASH DANCE II,TIRASSO,5300,CIUDAD,SAN RAFAEL,TIRASSO 5300 CIUDAD SAN RAFAEL,-34.58008100,-68.29730340,,337/91,PEDRO ANTONIO ALCALDE
RESTAURANTE,RINCON DEL VALLE,RUTA 173,"KM.25,8",VALLE GRANDE,SAN RAFAEL,"RUTA 173 KM.25,8 VALLE GRANDE SAN RAFAEL",-34.83510630,-68.51645090,0260-4429722,158/91,"SANCHEZ, LUCRECIA AMORUSO DE"
RESTAURANTE,CLOS DE CHACRAS,MONTE LIBANO,1025,CHACRAS DE CORIA,LUJAN,MONTE LIBANO 1025 CHACRAS DE CORIA LUJAN,-32.98210110,-68.87718370,4961285,E/T,ESTABLECIMIENTO PUNTA AZUL
RESTAURANTE,LOS CERROS CABA¥A CAPRINA,OLAVARRIA,S/N,PERDRIEL,LUJAN,OLAVARRIA S/N PERDRIEL LUJAN,-33.07642920,-68.88689440,4961741-2615081939,27/94,"HECTOR BAIGORRIA, Y OTROS"
RESTAURANTE,FINCA FLICHMAN,MUNIVES,800,BARRANCAS,MAIPU,MUNIVES 800 BARRANCAS MAIPU,-33.09579380,-68.71971780,4972039,E/T,FINCA FLICHMAN S.A.
HELADERIA,FERRUCCIO SOPPELSA,AV.CERRO SIETE COLORES,2001,CIUDAD,CAPITAL,AV.CERRO SIETE COLORES 2001 CIUDAD CAPITAL,-32.94418681,-68.82273078,4443907,124/18,"ABREGO, ROBERTO ADRIAN"
RESTAURANTE,DON MARIO,RUTA PANAMERICANA,2650,PALMARES,GODOY CRUZ,RUTA PANAMERICANA 2650 PALMARES GODOY CRUZ,-32.95570440,-68.85890340,4394838,171/98,DON MARIO S.A.
BAR Y PIZZERIA,PAREDITAS,RUTA 40,KM.119,PAREDITAS,SAN CARLOS,RUTA 40 KM.119 PAREDITAS SAN CARLOS,-33.76783130,-69.05908280,0262-496067,408/07,"VIDELA, RAMON"
CAFETERIA,WINE UP,25 DE MAYO,1215,CIUDAD,CAPITAL,25 DE MAYO 1215 CIUDAD CAPITAL,-32.88792675,-68.84662331,261-6446440,E/T,"PACE, CLAUDIO FACUNDO"
RESTAURANTE,CHALET SUIZO HELVETIA,RUTA PANAMERICANA,KM.30,ALVAREZ CONDARCO,LUJAN,RUTA PANAMERICANA KM.30 ALVAREZ CONDARCO LUJAN,-34.56333120,-59.12088050,4894000,280/05,"TESTA, ANA MARIA"
RESTAURANTE,FRANCESCO RISTORANTE,CHILE,1268,CIUDAD,CAPITAL,CHILE 1268 CIUDAD CAPITAL,-35.67514700,-71.54296900,,360/05,MILAZZO S.A.
CAFETERIA,HARRYS,AV.LAS HERAS,279,MERCADO CENTRAL,CAPITAL,AV.LAS HERAS 279 MERCADO CENTRAL CAPITAL,-32.88506803,-68.84161823,154540323,861/12,"PE¥AS, VIOLETA"
HELADERIA,FERRUCCIO SOPPELSA,MOLDES,1023,DORREGO,GUAYMALLEN,MOLDES 1023 DORREGO GUAYMALLEN,-32.91460470,-68.82528830,4313882,E/T,ESLUMAR S.A.
BALNEARIO,PORTOBELLO,BANDERA DE LOS ANDES,1009,CIUDAD,GUAYMALLEN,BANDERA DE LOS ANDES 1009 CIUDAD GUAYMALLEN,-32.89455940,-68.82091920,4250457,56/94,S.U.T.I.A.G.A.
CAFETERIA,BIANCO & NERO,AV.COLON,424,CIUDAD,CAPITAL,AV.COLON 424 CIUDAD CAPITAL,-32.89412360,-68.84611880,4200699,E/T,"MONTECINO, FRANCO"
RESTAURANTE,PIZZAIOLO,VICENTE GIL,311,CIUDAD,CAPITAL,VICENTE GIL 311 CIUDAD CAPITAL,"-32.89677144123079, -68.85571733738944",,,E/T,PECK S.A.
RESTAURANTE,LA BARRA,RUTA 173,KM.35,VALLE GRANDE,SAN RAFAEL,RUTA 173 KM.35 VALLE GRANDE SAN RAFAEL,-34.83510630,-68.51645090,,100/18,"RENTERIA, DIEGO"
CAF-RESTO,OLEGARIO CAF,PATRICIAS MENDOCINAS,945,CIUDAD,CAPITAL,PATRICIAS MENDOCINAS 945 CIUDAD CAPITAL,-32.89166740,-68.84353560,261-3385886,E/T,"DE ROSAS, PABLO GUILLERMO"
CAFETERIA,COLON,AV.SAN MARTIN,1180,CIUDAD,TUNUYAN,AV.SAN MARTIN 1180 CIUDAD TUNUYAN,-33.57777600,-69.01642900,,249/14,"LAMBERT, MARIA EUGENIA"
CAFETERIA,RINCON HUARPE,AV.LOS CONDORES,S/N,POTRERILLOS,LUJAN,AV.LOS CONDORES S/N POTRERILLOS LUJAN,-32.96196100,-69.19656260,155872581,296/11,"ROLANDI, AMNERIS"
RESTO-BAR,BUONGIORNO,GARIBALDI,299,CIUDAD,CAPITAL,GARIBALDI 299 CIUDAD CAPITAL,"-32.891297929757776, -68.83462360923232",,4291952,E/T,POWER STAR S.A.
CAFETERIA,BUENA CORTINA,BELGRANO,1860,CIUDAD,GODOY CRUZ,BELGRANO 1860 CIUDAD GODOY CRUZ,-32.90458670,-68.84228710,,E/T,CUYO CARGO S.A.
RESTAURANTE,CAVAS DE DON ARTURO,FRANKLIN VILLANUEVA,2233,LULUNTA,MAIPU,FRANKLIN VILLANUEVA 2233 LULUNTA MAIPU,-33.05154280,-68.80566330,4270071,E/T,BODEGAS Y VI¥EDOS CAVAS DE DON ARTURO S.A.
RESTAURANTE,BOOM MULTIESPACIO,MAZA,400,CIUDAD,RIVADAVIA,MAZA 400 CIUDAD RIVADAVIA,-33.19094790,-68.46217440,4972609,E/T,ALPA S.R.L.
RESTAURANTE,SIETE COCINAS,AV.MITRE,794,CIUDAD,CAPITAL,AV.MITRE 794 CIUDAD CAPITAL,-32.89300700,-68.84560900,4238823,786/13,SIETE COCINAS S.A
RESTAURANTE,FAMILIA OTERO RAMOS,ARAOZ,2750,MAYOR DRUMOND,LUJAN,ARAOZ 2750 MAYOR DRUMOND LUJAN,-33.00581500,-68.83651850,4964680,E/T,TIERRAS DEL ANDE S.A.
CAFETERIA,LONDON COFFE,GARIBALDI,299,CIUDAD,CAPITAL,GARIBALDI 299 CIUDAD CAPITAL,-32.89106082,-68.83457133,261-5603103,E/T,GRUPO SINERGIA
RESTAURANTE,QUE SABORES!,RUTTINI,34,COQUIMBITO,MAIPU,RUTTINI 34 COQUIMBITO MAIPU,-32.95393900,-68.75267590,4048198,138/18,"OLIVERI, CRISTIAN"
CAFETERIA,PARED SUR-ACONCAGUA,CERRO ACONCAGUA,,PENITENTES,LAS HERAS,CERRO ACONCAGUA PENITENTES LAS HERAS,-32.65317900,-70.01086750,,790/13,"RAGGIO, EDUARDO"
RESTAURANTE,RAICES,MILAGROS,2347,LOS CORRALITOS,GUAYMALLEN,MILAGROS 2347 LOS CORRALITOS GUAYMALLEN,-32.90789640,-68.72178530,4821066,E/T,CAPRITUR S.A.
CAFETERIA,BIANCO & NERO,TUCUMAN,8,CIUDAD,GODOY CRUZ,TUCUMAN 8 CIUDAD GODOY CRUZ,-32.90825570,-68.84425580,4242392,172/18,ANTONIOLI S.A.
CAFETERIA,CAFETERIA,AV.SAN MARTIN,1404,CIUDAD,CAPITAL,AV.SAN MARTIN 1404 CIUDAD CAPITAL,-32.91017570,-68.84448650,4203059,876/12,"SORIANO, JOSE MARIO"
RESTAURANTE,TRISTAN BARRAZA,AV.SARMIENTO,658,CIUDAD,CAPITAL,AV.SARMIENTO 658 CIUDAD CAPITAL,-32.88927070,-68.84771570,4238621,305/13,EPICURIO S.A.
RESTAURANTE,SARMIENTO RESTAURANTE,AV.SARMIENTO,776,CIUDAD,CAPITAL,AV.SARMIENTO 776 CIUDAD CAPITAL,-32.88897520,-68.84920120,4291581,844/12,"DIBLASI VILLEGAS, RENZO SEBASTIAN"
RESTAURANTE,PAN Y OLIVA,RUTA PROV.33,"KM.7,5",FRAY LUIS BELTRAN,MAIPU,"RUTA PROV.33 KM.7,5 FRAY LUIS BELTRAN MAIPU",-32.93753360,-68.56003170,4410000,554/18,VI¥A SANTA JULIA S.A.
RESTAURANTE,DIXON,LAVALLE,36,CIUDAD,CAPITAL,LAVALLE 36 CIUDAD CAPITAL,-32.88834740,-68.83801730,4291174,E/T,LIN WUXI
CAFETERIA,ORSON,LAVALLE,147,CIUDAD,CAPITAL,LAVALLE 147 CIUDAD CAPITAL,-32.88875100,-68.83626930,4573892,555/12,"PACHECO, MARIANA NOELIA"
RESTAURANTE,UFO POINT,VALLE DE LAS LE¥AS,,LAS LE¥AS,MALARGUE,VALLE DE LAS LE¥AS LAS LE¥AS MALARGUE,-35.48446200,-69.57974950,,E/T,ERAS COMERCIALIZACIONES S.R.L.
RESTAURANTE,EL PATIO DE JESUS MARIA,AV.BULOGNE SUR MER,788,CIUDAD,CAPITAL,AV.BULOGNE SUR MER 788 CIUDAD CAPITAL,-32.89090010,-68.86224940,4296767,E/T,CAVICO S.A.
RESTAURANTE,INNSBRUCK,LAS LE¥AS,,VALLE DE LAS LE¥AS,MALARGUE,LAS LE¥AS VALLE DE LAS LE¥AS MALARGUE,-35.48446200,-69.57974950,,E/T,"LLORENZ, FEDERICO"
RESTAURANTE,ALBINO,LAVALLE,156,CIUDAD,CAPITAL,LAVALLE 156 CIUDAD CAPITAL,-32.88848870,-68.83620390,155335140,E/T,"CUYO AVALOS, FLORENCIO"
CAF,LA REINESE,ADOLFO CALLE,635,DORREGO,GUAYMALLEN,ADOLFO CALLE 635 DORREGO GUAYMALLEN,-32.90003000,-68.82886690,4318256,E/T,"FERNANDEZ, HERMINA ESTER"
RESTAURANTE,BODEGA CARMELO PATTI,SAN MARTIN,2614,MAYOR DRUMOND,LUJAN,SAN MARTIN 2614 MAYOR DRUMOND LUJAN,-33.02211510,-68.87376570,4981379,E/T,"PATTI, CARMELO"
RESTAURANTE,CHERRY,SAN MARTIN,113,CIUDAD,MALARGUE,SAN MARTIN 113 CIUDAD MALARGUE,-35.48035950,-69.58524170,0263-4424646,919/12,TRAYLON S.A.
RESTAURANTE,EL RINCON,26 DE JULIO Y PASO DE LOS ANDES,S/N,CIUDAD,GRAL.ALVEAR,26 DE JULIO Y PASO DE LOS ANDES S/N CIUDAD GRAL.ALVEAR,-34.97692210,-67.69340860,02625-423057,263/94,"PEREZ VAZQUEZ, ALEJANDRO"
RESTAURANTE,LUCKY,SAN ISIDRO,999,CIUDAD,RIVADAVIA,SAN ISIDRO 999 CIUDAD RIVADAVIA,-33.19108560,-68.46207177,0263-4424646,893/12,TRAYLON S.A.
PIZZERIA,DONIZETTI PIZZA,GARIBALDI,39,CIUDAD,CAPITAL,GARIBALDI 39 CIUDAD CAPITAL,-32.89093178,-68.83855917,4290005,589/13,"ALVAREZ RUIZ, CLAUDIA MARIANA"
CAFETERIA,DOS DE AZUCAR,AV.ESPA¥A,1068,CIUDAD,CAPITAL,AV.ESPA¥A 1068 CIUDAD CAPITAL,-32.89056980,-68.84219680,261-3416825,E/T,"LEMES, MARIANA DENISE"
RESTAURANTE,777,AV.ALVEAR ESTE,136,CIUDAD,GRAL.ALVEAR,AV.ALVEAR ESTE 136 CIUDAD GRAL.ALVEAR,-34.97743510,-67.68756910,0263-4424646,829/15,TRAYLON S.A.
RESTAURANTE,SLOT BAR,9 DE JULIO,142,CIUDAD,SAN MARTIN,9 DE JULIO 142 CIUDAD SAN MARTIN,-34.60733190,-58.38162520,",",920/12,TRAYLON S.A.
HELADERIA,EL VALLE,RUTA 173,KM.32,VALLE GRANDE,SAN RAFAEL,RUTA 173 KM.32 VALLE GRANDE SAN RAFAEL,-34.83510630,-68.51645090,0260-4435176,E/T,"MARTINEZ, EDUARDO HECTOR"
RESTAURANTE,L`MARTINA,CUARTA DIVISION ESTE,90,CIUDAD,MALARGUE,CUARTA DIVISION ESTE 90 CIUDAD MALARGUE,-35.47823980,-69.58388420,0260-4629137,E/T,"ASTRADA, RAUL ALBERTO"
PIZZERIA,SR.PIZZA,GOBERNADOR VIDELA,749,CIUDAD,GUAYMALLEN,GOBERNADOR VIDELA 749 CIUDAD GUAYMALLEN,-32.89000290,-68.82964680,4451393,294/94,"PEREZ, ENRIQUE"
RESTAURANTE,MOSQUETA,AV.LOS CONDORES ESQUI. AV.DEL SOL,,POTRERILLOS,LUJAN,AV.LOS CONDORES ESQUI. AV.DEL SOL POTRERILLOS LUJAN,-34.56333120,-59.12088050,02624-483009,1021/13,MOSQUETA S.R.L.
BAR,GRAN CIERVO BAR DE MONTA¥A,AV.ARISTIDES VILLANUEVA,198,CIUDAD,CAPITAL,AV.ARISTIDES VILLANUEVA 198 CIUDAD CAPITAL,-32.89295200,-68.85294190,4254272,575/17,FIDEICOMISO EL CIERVO
RESTAURANTE,SAFARI INN,LOS PESCADORES,2073,,LAS HERAS,LOS PESCADORES 2073 LAS HERAS,-32.86757570,-68.81104210,4308831,439/94,"BELLO, PONPILIO Y FIORETTI, DANIEL"
RESTAURANTE,SR.CHEFF,PRIMITIVO DE LA RETA,1075,CIUDAD,CAPITAL,PRIMITIVO DE LA RETA 1075 CIUDAD CAPITAL,-32.89126150,-68.83811020,4231259,1037/13,"VILLEGAS, PEDRO ALFREDO"
CAFETERIA,JEROME,LOTEO ALTOS MANANTIALES,,EL SALTO,LUJAN,LOTEO ALTOS MANANTIALES EL SALTO LUJAN,-32.95552850,-69.29420000,02624-483039,E/T,CIA. DE CERVEZAS JEROME S.R.L.
RESTAURANTE,HOTEL EL NIHUIL,LA PASARELA,1200,EL NIHUIL,SAN RAFAEL,LA PASARELA 1200 EL NIHUIL SAN RAFAEL,-35.02877640,-68.67258910,0260-4494028,E/T,SMATA
CAFETERIA,MINERVA,LAS LE¥AS,,VALLE DE LAS LE¥AS,MALARGUE,LAS LE¥AS VALLE DE LAS LE¥AS MALARGUE,-35.48446200,-69.57974950,,E/T,VALLE DE LAS LE¥AS S.A.
CAFETERIA,OLIMPO,LAS LE¥AS,,VALLE DE LAS LE¥AS,MALARGUE,LAS LE¥AS VALLE DE LAS LE¥AS MALARGUE,-35.48446200,-69.57974950,,E/T,VALLE DE LAS LE¥AS S.A.
RESTAURANTE,ESPAZIO 348,SAN LORENZO,348,CIUDAD,CAPITAL,SAN LORENZO 348 CIUDAD CAPITAL,-32.89316054,-68.84474650,4295082,E/T,ESPAZIO 348 S.A.(E.F)
RESTAURANTE,ATAMISQUE,LA GLORIA,2054,SAN JOSE,TUPUNGATO,LA GLORIA 2054 SAN JOSE TUPUNGATO,-33.33606480,-69.15541830,02622-488922,1126/13,FRUTSUR S.A.
CAFETERIA,CAF LATTE,OLASCOAGA,1293,CIUDAD,CAPITAL,OLASCOAGA 1293 CIUDAD CAPITAL,-32.88604100,-68.85314630,4251683,018/15,LOS CABOS COMERCIALIZADORA S.A.
HELADERIA,ROKKO,25 DE MAYO,299,CIUDAD,SAN MARTIN,25 DE MAYO 299 CIUDAD SAN MARTIN,-33.08670969,-68.47488565,0263-4428144,E/T,"BRIFFE, ROQUE RAMON"
RESTAURANTE,LOS ALGARROBOS,RUTA 7,KM.947,LAS CATITAS,SANTA ROSA,RUTA 7 KM.947 LAS CATITAS SANTA ROSA,-33.29333060,-68.03506390,,385/08,"VAZQUEZ, MIGUEL ANGEL"
CONFITERIA,DESERT PUB,RUTA PROV.83,KM.17,VISTALBA,LUJAN,RUTA PROV.83 KM.17 VISTALBA LUJAN,-33.02709860,-68.90705650,,328/94,AGUSTIN R.GRAZIOTIN
RESTAURANTE,DANTESCO RESTAURANTE,ITALIA,5829,CHACRAS DE CORIA,LUJAN,ITALIA 5829 CHACRAS DE CORIA LUJAN,-32.98356560,-68.87869140,4961991,288/17,1765 CABA S.A.
CONF.BAILABLE,PRESTIGE,OLASCOAGA,26,CIUDAD,SAN RAFAEL,OLASCOAGA 26 CIUDAD SAN RAFAEL,-35.23810120,-60.61356870,,374/94,"SCALIA, ANTONIO"
RESTAURANTE,LïOBRADOR,BENTOS,50,LAS PAREDES,SAN RAFAEL,BENTOS 50 LAS PAREDES SAN RAFAEL,-34.59594730,-68.39263220,0260-4432723,E/T,"ANCINA, DANIEL EDUARDO"
RESTAURANTE,LA ESQUINA,RUTA PROV. 365,S/N,3 DE MAYO,LAVALLE,RUTA PROV. 365 S/N 3 DE MAYO LAVALLE,-28.37236160,29.37498450,,345/94,"CEBALLOS, JUAN CARLOS"
BAR,GIO BAR,CHILE,1288,CIUDAD,CAPITAL,CHILE 1288 CIUDAD CAPITAL,-35.67514700,-71.54296900,4204107,534/13,MILAZZO S.A.
BAR,TOTOïS SNACK,RUTA 7,S/N,PUENTE DEL INCA,LAS HERAS,RUTA 7 S/N PUENTE DEL INCA LAS HERAS,-33.93057570,-64.35513340,154170977,E/T,"ANELLO, EDUARDO MARTIN"
RESTAURANTE,LA ESTACION,9 DE JULIO,307,CIUDAD,LUJAN,9 DE JULIO 307 CIUDAD LUJAN,-34.55606950,-59.11733070,261-7225296,E/T,"FERNANDEZ, KAREN"
RESTO-BAR,LAS CHAPAS,RUTA PANAMERICANA,2875,PALMARES,,RUTA PANAMERICANA 2875 PALMARES,10.06072700,-84.43784950,5111500,130/18,21/4/2017
PIZZERIA,PRONTO PIZZA,RUTA PANAMERICANA,1457,LA PUNTILLA,LUJAN,RUTA PANAMERICANA 1457 LA PUNTILLA LUJAN,-34.56333120,-59.12088050,4960537,",","VILA, EMILIO JULIO"
SNACK-BAR,SAN RAFAEL TENIS CLUB,SOBREMONTE,737,CIUDAD,SAN RAFAEL,SOBREMONTE 737 CIUDAD SAN RAFAEL,-34.61641590,-68.35332030,,376/94,"ROMIN, PETRA ELENA"
RESTAURANTE,EL PATIO DE BABUSHKA,CALLE G ENTRE 24 Y 25,S/N,BOWEN,GRAL.ALVEAR,CALLE G ENTRE 24 Y 25 S/N BOWEN GRAL.ALVEAR,-36.02170660,-60.01452320,02625-15662586,E/T,"SARSOTTI, EDITH"
CAFETERIA,PUNTO Y COMA,9 DE JULIO,1357,CIUDAD,CAPITAL,9 DE JULIO 1357 CIUDAD CAPITAL,-32.88758599,-68.83979648,4251672,E/T,"LOPEZ, MARIA VALERIA"
HELADERIA,LOMORO,LEONIDAS AGUIRRE,275,CIUDAD,CAPITAL,LEONIDAS AGUIRRE 275 CIUDAD CAPITAL,-32.88497730,-68.85255940,261-6564661,E/T,"STAITI, ROBERTO"
CENTRO TURISTICO,EXCLUSIVE FREEDON,TROPERO SOSA,800,CIUDAD,MAIPU,TROPERO SOSA 800 CIUDAD MAIPU,-32.98875610,-68.77763640,,311/95,LUMACO S.A.
SANDWICHERIA,BURGER KING,RUTA PANAMERICANA,2650,PALMARES,GODOY CRUZ,RUTA PANAMERICANA 2650 PALMARES GODOY CRUZ,-32.95570440,-68.85890340,4139357,1130/13,FAST FOOD SUDAMERICANA S.A.
SANDWICHERIA,BURGER KING,BV.PEREZ CUESTA,3280,MZA.PLAZA SHOPPING,GUAYMALLEN,BV.PEREZ CUESTA 3280 MZA.PLAZA SHOPPING GUAYMALLEN,-32.90195070,-68.79746810,4260800,981/13,FAST FOOD SUDAMERICANA S.A.
RESTAURANTE,TASCA DE LAS ARTES,PUEYRREDON,2637,CHACRAS DE CORIA,LUJAN,PUEYRREDON 2637 CHACRAS DE CORIA LUJAN,-32.99301580,-68.89339180,4960483,650/94,VICENTE CASTIGLIONI
RESTAURANTE,SAN GENARO,ITALIA,5833,CHACRAS DE CORIA,LUJAN,ITALIA 5833 CHACRAS DE CORIA LUJAN,-32.98324290,-68.87847620,4960968,576/17,FACUNDO DEL OLMO
CONF.BAILABLE,LA CHIMERE,QUINTANA Y S.ESTEBAN,S/N,ALGARROBAL,LAS HERAS,QUINTANA Y S.ESTEBAN S/N ALGARROBAL LAS HERAS,-32.85127440,-68.81553610,,544/94,FEDERICO A. BACCARELLI
RESTO-BAR,MARANATHA MENDOZA,ADOLFO CALLE,5280,VILLA NUEVA,GUAYMALLEN,ADOLFO CALLE 5280 VILLA NUEVA GUAYMALLEN,-32.91127760,-68.78035740,4261354-156564988,E/T,"HERRERA, ANA MARIA"
CAF,LA RECOVA,SAN ISIDRO,712,CIUDAD,RIVADAVIA,SAN ISIDRO 712 CIUDAD RIVADAVIA,-33.19094790,-68.46217440,,664/94,"ZAMARIAN, JORGE ALDO"
RESTAURANTE,GOVINDA,DEMOCRACIA,40,CIUDAD,GODOY CRUZ,DEMOCRACIA 40 CIUDAD GODOY CRUZ,-32.91760620,-68.84484850,4280246,E,VENKATA S.A.
CAF,TIFFANYS,RUTA 144,S/N,CUADRO BENEGAS,SAN RAFAEL,RUTA 144 S/N CUADRO BENEGAS SAN RAFAEL,-34.90778140,-68.90040350,0260-154637705,E/T,"HALAN, PAULO"
HELADERIA,FERRUCCIO SOPPELSA,BV.PEREZ CUESTA,3280,MZA.PLAZA SHOPPING,GUAYMALLEN,BV.PEREZ CUESTA 3280 MZA.PLAZA SHOPPING GUAYMALLEN,-32.90195070,-68.79746810,4490917,250/15,"RAGUZA, EVANGELINA VERONICA"
CAFETERIA,VAR ARTE,CHILE,1230,CIUDAD,CAPITAL,CHILE 1230 CIUDAD CAPITAL,-35.67514700,-71.54296900,4255813,E/T,SAK BE PRODUCCIONES S.A.
RESTO-BAR,CHACHA,RUTA PROV.82,S/N,CACHEUTA,LUJAN,RUTA PROV.82 S/N CACHEUTA LUJAN,-33.01461880,-69.11852430,4800777,E/T,"ACEVEDO, SILVIA LUCIA"
CAFETERIA,BAHIA DE CUBA,AV.GODOY CRUZ,213,CIUDAD,CAPITAL,AV.GODOY CRUZ 213 CIUDAD CAPITAL,-32.88336370,-68.84050630,,093/18,"MONTOYA, CLAUDIO DANIEL"
RESTAURANTE,IL PANINO,AV.SAN MARTIN SUR,2575,BENEGAS,GODOY CRUZ,AV.SAN MARTIN SUR 2575 BENEGAS GODOY CRUZ,-32.95187880,-68.85822400,4399375,E/T,EMPRENDIMIENTOSGUIMALU S.A.
CAFETERIA,VOLCAN DE FUEGO,LA GLORIA,1813,EL PERAL,TUPUNGATO,LA GLORIA 1813 EL PERAL TUPUNGATO,-33.37280360,-69.14755830,02622-489816,171/18,COLORADA TRCE S.A.
CAFETERIA,VIVERO PINAR DEL CERRO,CALLE 4 Y 2,,POTRERILLOS,LUJAN,CALLE 4 Y 2 POTRERILLOS LUJAN,-32.95074080,-69.20562740,0261-4532660,E/T,"TRENTINI DE LOOS, DORA ELISA"
CAFETERIA,HAVANNA,RUTA PANAMERICANA,2875,PALMARES,GODOY CRUZ,RUTA PANAMERICANA 2875 PALMARES GODOY CRUZ,-33.00864860,-68.92041730,154548700,E/T,FRANQUICIAS DEL OESTE S.A.
SANDWICHERIA,MC.DONALD'S,AV.COLON,385,CIUDAD,CAPITAL,AV.COLON 385 CIUDAD CAPITAL,-32.89399200,-68.84517500,4290823,335/98,ARCOS MENDOCINOS S.A.
SALON DE TE,RUCA-HUE,RUTA 7,S/N,POTRERILLOS,LUJAN,RUTA 7 S/N POTRERILLOS LUJAN,-32.94924250,-69.20969630,,705/94,"PONCE, EVA AURELIA"
HELADERIA,ANAHI,ING.LANGE,78,CIUDAD,GRAL.ALVEAR,ING.LANGE 78 CIUDAD GRAL.ALVEAR,-34.97702320,-67.69452770,02625-422986,404/98,"PEREZ DE SAEZ, GRACIELA LA ROSA"
HELADERIA,IL GIUSTI,AV.SAN MARTIN,450,CIUDAD,SAN RAFAEL,AV.SAN MARTIN 450 CIUDAD SAN RAFAEL,37.97353460,-122.53108740,260-4430827,E/T,"DOLCEMASCOLO, MARCELO DANIEL"
RESTAURANTE,SABORES CRIOLLOS,GUTIERREZ,553,CIUDAD,CAPITAL,GUTIERREZ 553 CIUDAD CAPITAL,-32.88696120,-68.84584380,4238151,E/T,"NAVARRETE, ROSA BEATRIZ"
CAFETERIA,TU CAF,AV.SAN MARTIN,536,CIUDAD,LUJAN,AV.SAN MARTIN 536 CIUDAD LUJAN,-34.56556395,-59.11470867,,068/15,"LAZZARO, JAVIER EDUARDO"
RESTAURANTE,SUSHI CLUB,RUTA PANAMERICANA,2865,PALMARES,GODOY CRUZ,RUTA PANAMERICANA 2865 PALMARES GODOY CRUZ,-33.00866190,-68.92043670,4391267,217/15,WASABI MENDOZA S.A.
RESTAURANTE,ALEXANDRINA,AV.SAN JUAN,1127,CIUDAD,CAPITAL,AV.SAN JUAN 1127 CIUDAD CAPITAL,-34.62199500,-58.38189300,4259800,en leg.,REINA VICTORIA S.R.L.
RESTAURANTE,LA TASCA DE LA PLAZA,MONTEVIDEO,117,CIUDAD,CAPITAL,MONTEVIDEO 117 CIUDAD CAPITAL,-34.90550160,-56.18511470,4231403,310/17,LA TASCA S.A.
HELADERIA,HELADOS JOSSELIN,SAN MARTIN,85,CIUDAD,SAN RAFAEL,SAN MARTIN 85 CIUDAD SAN RAFAEL,37.97353460,-122.53108740,0260-4424809,E/T,LA POLONIA S.R.L.
RESTAURANTE,RINCON JUMBO,BALCARCE,897,CIUDAD,GODOY CRUZ,BALCARCE 897 CIUDAD GODOY CRUZ,-32.91608480,-68.83832210,,142/05,"MORTAROTTI, JUAN PABLO"
RESTAURANTE,DOROTEA,LAS CA¥AS,1883,LA BARRACA MALL,GUAYMALLEN,LAS CA¥AS 1883 LA BARRACA MALL GUAYMALLEN,-32.91588920,-68.82197320,4588011,102/18,ALFAU S.A.
RESTAURANTE,JIRCH,AV.HIPOLITO IRIGOYEN,71,CIUDAD,SAN RAFAEL,AV.HIPOLITO IRIGOYEN 71 CIUDAD SAN RAFAEL,-34.61598360,-68.33094140,154694182,E/T,"BARRERA LUCERO, VALERIA ANGELICA"
RESTAURANTE,CAVA DE GIOL,OZAMIS,1040,CIUDAD,MAIPU,OZAMIS 1040 CIUDAD MAIPU,-32.97263280,-68.78844150,156012093,834/15,"ELIA, MAURICIO JAVIER"
